"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 21 11:54:12 CST 2022","Mon Nov 21 11:54:13 CST 2022","32","test_case.Course","test_insert_course","TestInsertCourse","","","test_insert_course[课程名称为空创建，期望失败]","
        :param :
        :return:
        "
"failed","Mon Nov 21 11:54:06 CST 2022","Mon Nov 21 11:54:06 CST 2022","10","test_case.ActionTrain","test_train_ending","TestTrainEnding","","","test_train_ending[错误的ID提交结束训练]","
        :param :
        :return:
        "
"failed","Mon Nov 21 11:54:27 CST 2022","Mon Nov 21 11:54:27 CST 2022","34","test_case.PlanTemplate","test_plantemplate_all","TestPlantemplateAll","","","test_plantemplate_all[查询 gradeId为 01的计划模板]","
        :param :
        :return:
        "
"broken","Mon Nov 21 11:54:26 CST 2022","Mon Nov 21 11:54:26 CST 2022","4","test_case.Plan","test_plan_details","TestPlanDetails","","","test_plan_details[正常的计划ID查询计划详情]","
        :param :
        :return:
        "
"broken","Mon Nov 21 11:54:25 CST 2022","Mon Nov 21 11:54:25 CST 2022","10","test_case.Plan","test_lesson_details","TestLessonDetails","","","test_lesson_details[不登录时查询课时详情]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:11 CST 2022","Mon Nov 21 11:54:11 CST 2022","8","test_case.Course","test_delete_course","TestDeleteCourse","","","test_delete_course[删除不存在的课程]","
        :param :
        :return:
        "
"broken","Mon Nov 21 11:54:18 CST 2022","Mon Nov 21 11:54:18 CST 2022","20","test_case.CourseTrain","test_course_train_starting","TestCourseTrainStarting","","","test_course_train_starting[未登录时开始课程训练]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:13 CST 2022","Mon Nov 21 11:54:13 CST 2022","28","test_case.Course","test_recommend_course","TestRecommendCourse","","","test_recommend_course[获取所有推荐课程]","
        :param :
        :return:
        "
"broken","Mon Nov 21 11:54:26 CST 2022","Mon Nov 21 11:54:26 CST 2022","29","test_case.Plan","test_plan_delay","TestPlanDelay","","","test_plan_delay[正常的计划ID延期计划]","
        :param :
        :return:
        "
"broken","Mon Nov 21 11:54:28 CST 2022","Mon Nov 21 11:54:28 CST 2022","14","test_case.PlanTrain","test_start_plantrain","TestStartPlantrain","","","test_start_plantrain[参数错误情况下开始计划训练]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:27 CST 2022","Mon Nov 21 11:54:27 CST 2022","10","test_case.PlanTrain","test_process_plantrain","TestProcessPlantrain","","","test_process_plantrain[缺少字段提交训练中的计划]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:53:53 CST 2022","Mon Nov 21 11:53:53 CST 2022","229","test_case.Action","test_action_by_type","TestActionByType","","","test_action_by_type[正确的的动作类型获取动作]","
        :param :
        :return:
        "
"broken","Mon Nov 21 11:54:10 CST 2022","Mon Nov 21 11:54:10 CST 2022","124","test_case.ActionTrain","test_train_starting","TestTrainStarting","","","test_train_starting[未登录状态开始动作训练]","
        :param :
        :return:
        "
"failed","Mon Nov 21 11:54:26 CST 2022","Mon Nov 21 11:54:26 CST 2022","251","test_case.Plan","test_plan_delay","TestPlanDelay","","","test_plan_delay[传入已删除的计划ID，验证返回参数]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:19 CST 2022","Mon Nov 21 11:54:22 CST 2022","2835","test_case.Freedom","test_freedom_train_ending","TestFreedomTrainEnding","","","test_freedom_train_ending[正常的参数结束自由训练]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:10 CST 2022","Mon Nov 21 11:54:10 CST 2022","34","test_case.Classroom","test_classroom_detail","TestClassroomDetail","","","test_classroom_detail[未登录时获取课堂详情]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:53:54 CST 2022","Mon Nov 21 11:53:54 CST 2022","56","test_case.Action","test_all_actions","TestAllActions","","","test_all_actions[输入关键词获取动作列表]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:27 CST 2022","Mon Nov 21 11:54:27 CST 2022","9","test_case.PlanTrain","test_process_plantrain","TestProcessPlantrain","","","test_process_plantrain[不登录情况下，提交训练中的数据]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:53:53 CST 2022","Mon Nov 21 11:53:53 CST 2022","11","test_case.Action","test_action_by_catalog","TestActionByCatalog","","","test_action_by_catalog[错误的健身栏目id + 正确的部位id 获取动作]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:10 CST 2022","Mon Nov 21 11:54:10 CST 2022","15","test_case.BodyPart","test_body_part_children","TestBodyPartChildren","","","test_body_part_children[错误的ID获取子级部位]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:06 CST 2022","Mon Nov 21 11:54:09 CST 2022","3816","test_case.ActionTrain","test_train_process","TestTrainProcess","","","test_train_process[正常的参数开始动作训练过程--训练5次]","
        :param :
        :return:
        "
"broken","Mon Nov 21 11:54:25 CST 2022","Mon Nov 21 11:54:25 CST 2022","16","test_case.Plan","test_modify_schedule","TestModifySchedule","","","test_modify_schedule[正常参数修改训练日]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:27 CST 2022","Mon Nov 21 11:54:27 CST 2022","26","test_case.PlanTemplate","test_plantemplate_all","TestPlantemplateAll","","","test_plantemplate_all[查询 catalogId 计划模板]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:27 CST 2022","Mon Nov 21 11:54:27 CST 2022","9","test_case.PlanTemplate","test_plantemplate_diet","TestPlantemplateDiet","","","test_plantemplate_diet[缺少id字段查询饮食]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:11 CST 2022","Mon Nov 21 11:54:11 CST 2022","12","test_case.Course","test_course_by_catalog_top","TestCourseByCatalogTop","","","test_course_by_catalog_top[错误的一级健身栏目]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:11 CST 2022","Mon Nov 21 11:54:11 CST 2022","35","test_case.Course","test_course_all","TestCourseAll","","","test_course_all[输入关键词获取课程列表]","
        :param :
        :return:
        "
"broken","Mon Nov 21 11:54:26 CST 2022","Mon Nov 21 11:54:26 CST 2022","4","test_case.Plan","test_plan_underway","TestPlanUnderway","","","test_plan_underway[正确的健身栏目ID查询]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:28 CST 2022","Mon Nov 21 11:54:28 CST 2022","11","test_case.Register","test_password_encrypt","TestPasswordEncrypt","","","test_password_encrypt[密码正常加密返回]","
        :param :
        :return:
        "
"passed","Mon Nov 21 11:54:15 CST 2022","Mon Nov 21 11:54:16 CST 2022","165","test_case.CourseTrain","test_course_train_ending","TestCourseTrainEnding","","","test_course_train_ending[错误的参数提交结束课程训练--id]","
        :param :
        :return:
        "
